Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,
PIH,"1347 Property Insurance Holdings, Inc.",7.35,43988030.1,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.6135,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,2.297,71486227.914,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",12.9,833391896.7,n/a,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
FCCY,1st Constitution Bancorp (NJ),21.95,183578078.7,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,55.67,1444924926.27,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",8.8,542123595.2,61604954,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",87.6,4970093660.4,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
JOBS,"51job, Inc.",105.06,3827984125.26,36436171,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
EGHT,8x8 Inc,19.6,1822893570.4,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght,
AVHI,"A V Homes, Inc.",21.35,477655885.35,n/a,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/avhi,
SHLM,"A. Schulman, Inc.",44.55,1314632721.6,n/a,1972,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm,
AAON,"AAON, Inc.",33.1,1733189846.1,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,
ABAX,"ABAXIS, Inc.",83.21,1903095910,n/a,1992,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/abax,
ABEO,Abeona Therapeutics Inc.,16.4,775806674,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,10.7,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,
ABIL,Ability Inc.,4.99,12856310.85,n/a,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,
ABMD,"ABIOMED, Inc.",427.29,19004934971.73,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,2.7,449744823.9,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,9.41,540139316.65,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,
ACIA,"Acacia Communications, Inc.",33.33,1338184201.53,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,
ACTG,Acacia Research Corporation,4.35,220318286.7,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,
ACHC,"Acadia Healthcare Company, Inc.",42.61,3759694159.59,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,16.33,2038408073.77,n/a,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,
ACST,"Acasti Pharma, Inc.",0.7164,25913486.8332,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,
AXDX,"Accelerate Diagnostics, Inc.",24,1295581176,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,37.37,1710623895.25,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,
